sample_id,station_id,station_name,station_type,sample_date,parameter,status,loq,value_lw,units,value_am
104322,26420.0,Simonstadvatnet,Innsjø,2019-10-29,Bly,Authorised,"0,01",0.68,UG_P_L,0.66
104322,26420.0,Simonstadvatnet,Innsjø,2019-10-29,Aluminium,Authorised,1,390.0,UG_P_L,24.0
104322,26420.0,Simonstadvatnet,Innsjø,2019-10-29,Arsen,Authorised,"0,02",0.33,UG_P_L,0.357
104322,26420.0,Simonstadvatnet,Innsjø,2019-10-29,Kobber,Authorised,"0,05",1.1,UG_P_L,1.0
104322,26420.0,Simonstadvatnet,Innsjø,2019-10-29,Krom,Authorised,"0,05",0.46,UG_P_L,0.4
104322,26420.0,Simonstadvatnet,Innsjø,2019-10-29,Nikkel,Authorised,"0,05",1.4,UG_P_L,1.7
104322,26420.0,Simonstadvatnet,Innsjø,2019-10-29,Sink,Authorised,"0,2",7.4,UG_P_L,11.4
104323,26421.0,Midtvatnet,Innsjø,2019-10-29,Bly,Authorised,"0,01",0.62,UG_P_L,0.5599999999999999
104323,26421.0,Midtvatnet,Innsjø,2019-10-29,Aluminium,Authorised,1,270.0,UG_P_L,1.0
104323,26421.0,Midtvatnet,Innsjø,2019-10-29,Arsen,Authorised,"0,02",0.31,UG_P_L,0.396
104323,26421.0,Midtvatnet,Innsjø,2019-10-29,Kobber,Authorised,"0,05",1.0,UG_P_L,0.9
104323,26421.0,Midtvatnet,Innsjø,2019-10-29,Krom,Authorised,"0,05",0.37,UG_P_L,0.2
104323,26421.0,Midtvatnet,Innsjø,2019-10-29,Nikkel,Authorised,"0,05",0.65,UG_P_L,0.8
104323,26421.0,Midtvatnet,Innsjø,2019-10-29,Sink,Authorised,"0,2",8.3,UG_P_L,11.299999999999999
104324,26422.0,Ljøstadvann,Innsjø,2019-10-29,Bly,Authorised,"0,01",0.68,UG_P_L,0.35
104324,26422.0,Ljøstadvann,Innsjø,2019-10-29,Aluminium,Authorised,1,250.0,UG_P_L,16.0
104324,26422.0,Ljøstadvann,Innsjø,2019-10-29,Kobber,Authorised,"0,05",0.62,UG_P_L,0.7
104324,26422.0,Ljøstadvann,Innsjø,2019-10-29,Krom,Authorised,"0,05",0.32,UG_P_L,0.1
104324,26422.0,Ljøstadvann,Innsjø,2019-10-29,Nikkel,Authorised,"0,05",1.0,UG_P_L,0.9
104324,26422.0,Ljøstadvann,Innsjø,2019-10-29,Sink,Authorised,"0,2",5.6,UG_P_L,9.2
104325,26424.0,HOH 170,Innsjø,2019-10-29,Bly,Authorised,"0,01",0.75,UG_P_L,0.83
104325,26424.0,HOH 170,Innsjø,2019-10-29,Aluminium,Authorised,1,330.0,UG_P_L,77.0
104325,26424.0,HOH 170,Innsjø,2019-10-29,Kobber,Authorised,"0,05",0.64,UG_P_L,1.0
104325,26424.0,HOH 170,Innsjø,2019-10-29,Krom,Authorised,"0,05",0.46,UG_P_L,0.2
104325,26424.0,HOH 170,Innsjø,2019-10-29,Nikkel,Authorised,"0,05",1.0,UG_P_L,1.4
104325,26424.0,HOH 170,Innsjø,2019-10-29,Sink,Authorised,"0,2",6.4,UG_P_L,9.700000000000001
