station_id,station_name,lat,lon,year,Alkalitet,Aluminium,"Aluminium,ikkelabil","Aluminium,reaktivt",Ammonium,Arsen,Bly,Ca/Mg,Fluorid,Kalium,Kalsium,Klorid,Kobber,Konduktivitet,Krom,Magnesium,Natrium,Nikkel,Nitritt+nitrat,Sink,Sulfat,Totalfosfor,Totalnitrogen,Totalorganiskkarbon(TOC),pH,utm_north,utm_east,utm_zone
26070.0,Langtjern,59.80864254,11.85027432,1995,0.042,,111.0,131.0,,,,3.45945945945946,40.0,0.14,1.28,1.9,,2.17,,0.37,1.45,,46.0,,3.0,10.0,385.0,11.7,5.39,6634299.000170827,323345.99979707226,33
26070.0,Langtjern,59.80864254,11.85027432,2019,0.054000000000000006,,130.0,150.0,,,,3.314285714285714,21.0,0.17,1.16,1.84,,2.04,,0.35,1.64,,16.0,,0.61,11.0,250.0,20.0,5.09,6634299.000170827,323345.99979707226,33
26071.0,Hokksjøen,59.0044234,11.56358634,1995,0.032,,141.0,202.0,,,,1.5671641791044777,40.0,0.37,1.05,6.2,,4.08,,0.67,4.15,,90.0,,4.8,10.0,485.0,10.0,5.03,6545619.999741997,302651.0003015938,33
26071.0,Hokksjøen,59.0044234,11.56358634,2019,0.03,,220.0,280.0,,,,1.4482758620689655,31.0,0.29,0.84,7.63,,4.98,,0.58,5.0,,48.0,,1.89,10.0,370.0,24.2,4.67,6545619.999741997,302651.0003015938,33
26072.0,Sætertjern,60.06022166,12.44671144,1995,0.049,,130.0,182.0,,,,2.648148148148148,180.0,0.31,1.43,1.5,,2.14,,0.54,1.34,,38.0,,3.0,8.0,385.0,12.1,5.49,6660862.999691226,357866.0000002743,33
26072.0,Sætertjern,60.06022166,12.44671144,2019,0.057,,130.0,200.0,,,,3.042553191489361,170.0,0.23,1.43,1.57,,2.11,,0.47,1.51,,19.0,,1.1,9.0,260.0,20.3,5.22,6660862.999691226,357866.0000002743,33
26073.0,Mjøgsjøen,60.32857753,11.8421862,1995,,,,,,,,,,,,,,,,,,,,,,11.0,,,,6692180.999517885,325659.00015276915,33
26073.0,Mjøgsjøen,60.32857753,11.8421862,2019,,,,,,,,,,,,,,,,,,,,,,10.0,,,,6692180.999517885,325659.00015276915,33
26074.0,Kottern,60.59072946,12.51700849,1995,0.052000000000000005,,115.0,134.0,28.0,,,3.428571428571429,60.0,0.2,1.2,0.8,,1.56,,0.35,1.01,,54.0,,2.6,11.0,265.0,9.3,5.77,6719770.000416376,364003.000014298,33
26074.0,Kottern,60.59072946,12.51700849,2019,0.039,,120.0,160.0,10.0,,,3.4444444444444438,51.0,0.26,0.93,0.72,,1.73,,0.27,1.0,,42.0,,0.78,11.0,240.0,16.8,4.96,6719770.000416376,364003.000014298,33
26075.0,Måsabutjørna,61.8222,11.1834,1995,,,10.0,10.0,,,,,,,,,,,,,,,,,,2.0,,,,6860277.158630322,299015.2803517418,33
26075.0,Måsabutjørna,61.8222,11.1834,2019,,,7.0,10.0,,,,,,,,,,,,,,,,,,3.0,,,,6860277.158630322,299015.2803517418,33
26076.0,HOH 1066,62.23615928,11.13619956,1995,0.035,,17.0,23.0,,,,4.428571428571427,40.0,0.03,0.31,0.2,,0.59,,0.07,0.26,,8.0,,0.2,7.0,600.0,7.4,5.23,6906481.000092154,299278.9997823657,33
26076.0,HOH 1066,62.23615928,11.13619956,2019,0.051,,8.0,9.0,,,,4.545454545454546,8.0,0.013000000000000001,0.5,0.15,,0.61,,0.11,0.31,,3.0,,0.042,12.0,480.0,8.0,5.46,6906481.000092154,299278.9997823657,33
26077.0,Brennvoltjørna,61.98456162,10.78499212,1995,,,32.0,46.0,,,,,,,,,,,,,,,,,,4.0,,,,6879633.999922919,279229.0000430817,33
26077.0,Brennvoltjørna,61.98456162,10.78499212,2019,,,39.0,45.0,,,,,,,,,,,,,,,,,,7.0,,,,6879633.999922919,279229.0000430817,33
26078.0,HOH 1374,62.32794163,9.07993605,1995,0.046,0.0,10.0,10.0,,,0.12999999999999998,7.75,40.0,0.23,0.31,0.4,0.5,0.48,,0.04,0.23,0.2,3.0,0.8,0.6,2.0,89.0,0.82,6.12,6924752.000159699,193572.00037896947,33
26078.0,HOH 1374,62.32794163,9.07993605,2019,0.062,12.0,5.0,5.0,,,0.015,3.066666666666667,33.0,0.29,0.46,0.34,0.18,0.62,,0.15,0.41,0.059000000000000004,1.0,0.2,0.55,2.0,49.0,0.96,6.2,6924752.000159699,193572.00037896947,33
26079.0,Kjelsungvatnet,62.24001032,9.14821579,1995,0.046,0.0,10.0,10.0,,,0.23,9.428571428571429,40.0,0.05,0.66,0.3,,0.75,0.1,0.07,0.29,0.2,79.0,1.6,1.5,3.0,108.0,0.2,6.19,6914662.999470919,196213.00006080198,33
26079.0,Kjelsungvatnet,62.24001032,9.14821579,2019,0.06,11.0,5.0,5.0,,,0.01,13.035714285714285,4.0,0.040999999999999995,0.73,0.18,,0.61,0.05,0.055999999999999994,0.44,0.05,94.0,0.2,0.64,1.0,120.0,0.38,6.15,6914662.999470919,196213.00006080198,33
26080.0,Nedre Søvertjørni,61.85860149,7.6852919,1995,,,10.0,10.0,,,,,,,,,,,,,,,,,,2.0,,,,6880102.998914209,115683.00185380015,33
26080.0,Nedre Søvertjørni,61.85860149,7.6852919,2019,,,5.0,5.0,,,,,,,,,,,,,,,,,,1.0,,,,6880102.998914209,115683.00185380015,33
26081.0,Liavatnet,61.849,7.752,1995,,,10.0,10.0,,,,,,,,,,,,,,,,,,2.0,,,,6878644.4748397935,119057.95093057351,33
26081.0,Liavatnet,61.849,7.752,2019,,,5.0,7.0,,,,,,,,,,,,,,,,,,1.0,,,,6878644.4748397935,119057.95093057351,33
26082.0,Skuggevatnet,61.59123063,7.99565965,1995,0.039,0.0,10.0,10.0,,,0.09000000000000001,6.333333333333334,40.0,0.07,0.19,0.2,0.6,0.34,,0.03,0.13,,26.0,0.7,0.4,2.0,66.0,0.21,6.0,6848640.998685331,128734.00121528265,33
26082.0,Skuggevatnet,61.59123063,7.99565965,2019,0.057999999999999996,13.0,5.0,5.0,,,0.016,11.09090909090909,4.0,0.09300000000000001,0.61,0.13,0.2,0.45,,0.055,0.2,,1.0,0.2,0.49,2.0,27.0,0.53,6.2,6848640.998685331,128734.00121528265,33
26083.0,Høgkampvatnet,61.06660673,9.81883005,1995,0.04,0.0,10.0,10.0,,,0.09000000000000001,3.4166666666666665,40.0,0.14,0.41,0.2,,0.63,0.1,0.12,0.2,0.2,6.0,1.1,1.6,3.0,78.0,0.71,5.79,6781275.00034123,220562.0003549442,33
26083.0,Høgkampvatnet,61.06660673,9.81883005,2019,0.06,7.8,5.0,5.0,,,0.04,5.125,6.0,0.092,0.82,0.12,,0.56,0.05,0.16,0.24,0.062,2.0,0.54,0.68,3.0,54.0,1.1,6.18,6781275.00034123,220562.0003549442,33
26085.0,HOH 1398,61.19811387,8.46260201,1995,0.047,0.0,10.0,10.0,,,0.06999999999999999,4.0,40.0,0.22,0.36,0.2,0.4,0.55,,0.09,0.24,,30.0,1.0,0.9,2.0,84.0,0.48,6.2,6802427.999130959,149033.00051417341,33
26085.0,HOH 1398,61.19811387,8.46260201,2019,0.076,13.0,5.0,9.0,,,0.018000000000000002,5.384615384615384,12.0,0.23,0.7,0.14,0.18,0.62,,0.13,0.29,,4.0,0.39,0.62,3.0,57.0,0.76,6.44,6802427.999130959,149033.00051417341,33
26086.0,Korstjernet,59.52199655,9.63347437,1995,,,106.0,157.0,,,,3.0,40.0,0.09,0.33,0.8,,1.86,,0.11,0.6,,54.0,,1.9,5.0,300.0,7.5,4.56,6610438.999492296,196576.0000265463,33
26086.0,Korstjernet,59.52199655,9.63347437,2019,,,100.0,140.0,,,,3.68421052631579,2.0,0.036000000000000004,0.28,0.44,,1.48,,0.076,0.55,,17.0,,0.33,7.0,210.0,11.0,4.74,6610438.999492296,196576.0000265463,33
26087.0,Hengsvatnet,59.65618463,9.4415214,1995,0.053,,112.0,142.0,,,,8.222222222222221,150.0,0.22,1.48,0.9,,1.45,,0.18,0.64,,41.0,,2.4,1.0,240.0,5.8,5.66,6626240.998752443,186990.5805707433,33
26087.0,Hengsvatnet,59.65618463,9.4415214,2019,0.057999999999999996,,93.0,110.0,,,,12.333333333333336,93.0,0.09699999999999999,1.48,0.79,,1.24,,0.12,0.8,,23.0,,0.77,3.0,160.0,7.1,5.8,6626240.998752443,186990.5805707433,33
26088.0,Surtetjørn,59.77231309,9.12523824,1995,0.022000000000000002,,126.0,154.0,,,,3.4,40.0,0.26,0.85,0.9,,1.66,,0.25,0.59,,28.0,,2.3,7.0,255.0,8.7,4.84,6640675.999913797,170356.00044057163,33
26088.0,Surtetjørn,59.77231309,9.12523824,2019,0.036000000000000004,,120.0,150.0,,,,3.7894736842105265,15.0,0.12,0.72,0.6,,1.42,,0.19,0.71,,12.0,,0.68,8.0,190.0,12.0,4.99,6640675.999913797,170356.00044057163,33
26089.0,Vihusvatnet,59.07633693,8.88201358,1995,0.022000000000000002,,68.0,111.0,,,,7.166666666666668,40.0,0.09,0.86,1.0,,1.65,,0.12,0.88,,57.0,,2.5,7.0,285.0,5.3,4.91,6564623.999888182,149601.00053121772,33
